ticker,sector,notes
AAPL,Technology,
MSFT,Technology,
GOOGL,Technology,
NVDA,Technology,
JPM,Financials,
BAC,Financials,
GS,Financials,
JNJ,Healthcare,
PFE,Healthcare,
UNH,Healthcare,
XOM,Energy,
CVX,Energy,
AMZN,Consumer,
WMT,Consumer,
KO,Consumer,
